wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.59,0.55,5000
0.5,0.63,10000
0.65,0.64,15000
0.63,0.62,20000
0.62,0.73,25000
0.66,0.61,30000
0.75,0.66,35000
0.72,0.75,40000
0.71,0.76,45000
0.73,0.73,50000
0.75,0.78,55000
0.78,0.74,60000
0.72,0.76,65000
0.72,0.77,70000
0.76,0.7,75000
0.77,0.72,80000
0.79,0.75,85000
0.76,0.76,90000
0.77,0.74,95000
0.75,0.77,100000
0.73,0.77,105000
0.69,0.71,110000
0.69,0.8,115000
0.79,0.73,120000
0.85,0.7,125000
0.73,0.76,130000
0.74,0.72,135000
0.77,0.75,140000
0.71,0.73,145000
0.76,0.74,150000
0.79,0.78,155000
0.75,0.79,160000
0.77,0.79,165000
0.81,0.71,170000
0.76,0.83,175000
