wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.49,0.78,1000
0.51,0.8,2000
0.44,0.81,3000
0.54,0.75,4000
0.57,0.74,5000
0.57,0.8,6000
0.58,0.75,7000
0.57,0.75,8000
0.6,0.79,9000
0.63,0.79,10000
0.51,0.79,11000
0.57,0.86,12000
0.63,0.83,13000
0.56,0.79,14000
0.65,0.81,15000
0.59,0.8,16000
0.58,0.77,17000
0.56,0.85,18000
0.57,0.82,19000
0.57,0.74,20000
0.58,0.85,21000
0.62,0.86,22000
0.61,0.77,23000
0.63,0.78,24000
0.57,0.87,25000
0.59,0.81,26000
0.55,0.73,27000
0.59,0.74,28000
0.56,0.77,29000
0.62,0.77,30000
0.62,0.73,31000
0.61,0.78,32000
0.58,0.71,33000
0.58,0.85,34000
0.59,0.84,35000
