pourcentage_wins,n_it
0.5,0
0.5,1000
0.55,2000
0.46,3000
0.5,4000
0.63,5000
0.59,6000
0.58,7000
0.62,8000
0.57,9000
0.65,10000
0.72,11000
0.75,12000
0.73,13000
0.71,14000
0.68,15000
0.69,16000
0.72,17000
0.66,18000
0.69,19000
0.76,20000
0.71,21000
0.69,22000
0.75,23000
0.71,24000
0.74,25000
0.74,26000
0.77,27000
0.7,28000
0.71,29000
0.69,30000
0.72,31000
0.74,32000
0.78,33000
0.69,34000
0.74,35000
0.74,36000
0.68,37000
0.73,38000
0.76,39000
0.8,40000
0.63,41000
0.8,42000
0.76,43000
0.74,44000
0.77,45000
0.75,46000
0.72,47000
0.68,48000
0.83,49000
0.7,50000
0.71,51000
0.69,52000
0.74,53000
0.79,54000
0.73,55000
0.7,56000
0.76,57000
0.79,58000
0.73,59000
0.8,60000
0.71,61000
0.83,62000
0.74,63000
0.74,64000
0.85,65000
0.78,66000
0.79,67000
0.76,68000
0.72,69000
0.73,70000
0.75,71000
0.8,72000
0.71,73000
0.74,74000
0.73,75000
0.87,76000
0.77,77000
0.83,78000
0.82,79000
0.79,80000
0.81,81000
0.8,82000
0.81,83000
0.72,84000
0.87,85000
0.81,86000
0.75,87000
0.79,88000
0.77,89000
0.81,90000
0.79,91000
0.77,92000
0.77,93000
0.83,94000
0.74,95000
0.81,96000
