wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.28,0.54,1000
0.23,0.49,2000
0.29,0.43,3000
0.25,0.47,4000
0.24,0.53,5000
0.25,0.46,6000
0.35,0.43,7000
0.42,0.46,8000
0.53,0.57,9000
0.53,0.59,10000
0.59,0.56,11000
0.64,0.56,12000
0.71,0.55,13000
0.67,0.59,14000
0.71,0.62,15000
0.72,0.57,16000
0.71,0.66,17000
0.61,0.56,18000
0.7,0.68,19000
0.65,0.49,20000
0.72,0.63,21000
0.61,0.68,22000
0.68,0.68,23000
0.66,0.62,24000
0.66,0.65,25000
0.64,0.6,26000
0.65,0.64,27000
0.64,0.57,28000
0.61,0.59,29000
0.64,0.61,30000
0.63,0.59,31000
0.58,0.64,32000
0.53,0.52,33000
0.6,0.63,34000
0.53,0.56,35000
0.55,0.65,36000
