wins_vs_base,wins_vs_random,n_it
0.5,0.5,0
0.53,0.8,1000
0.58,0.83,2000
0.53,0.75,3000
0.57,0.75,4000
0.56,0.71,5000
0.49,0.73,6000
0.54,0.76,7000
0.53,0.79,8000
0.53,0.78,9000
0.51,0.65,10000
0.56,0.84,11000
0.57,0.78,12000
0.54,0.81,13000
0.52,0.7,14000
0.54,0.77,15000
0.53,0.75,16000
0.57,0.73,17000
0.56,0.73,18000
0.54,0.72,19000
0.64,0.76,20000
0.59,0.78,21000
0.58,0.78,22000
0.58,0.68,23000
0.56,0.78,24000
0.56,0.73,25000
0.58,0.68,26000
0.57,0.76,27000
0.49,0.81,28000
0.5,0.78,29000
0.57,0.75,30000
0.52,0.69,31000
0.5,0.65,32000
0.52,0.73,33000
0.57,0.71,34000
0.48,0.79,35000
0.51,0.7,36000
0.58,0.76,37000
0.49,0.72,38000
0.48,0.74,39000
0.51,0.79,40000
